unigene,A Chr,C Chr,AGI
Cab020461.1,A01,.,AT4G37670.2
BnaA01g00350D,A01,.,0
Cab020460.1,A01,.,AT4G37650.1
Cab020459.1,A01,.,AT4G37610.1
Cab020458.1,A01,.,AT4G37580.1
Cab020457.1,A01,.,AT4G37580.1
Cab020456.1,A01,.,AT4G37560.1
Cab020455.1,A01,.,AT4G37550.1
Cab020454.1,A01,.,AT4G37540.1
Cab020453.1,A01,.,0
Cab020452.1,A01,.,AT4G37520.1
Cab020451.1,A01,.,AT4G37510.1
Cab020450.1,A01,.,AT4G37490.1
Cab020449.1,A01,.,0
Cab020448.1,A01,.,0
Cab020447.1,A01,.,AT4G37460.1
Cab020446.1,A01,.,AT4G37450.1
Cab020445.1,A01,.,AT4G37445.1
Cab020444.1,A01,.,0
Cab020443.1,A01,.,AT4G37445.1
Cab020442.1,A01,.,0
Cab020441.1,A01,.,0
Cab020440.1,A01,.,AT4G37430.1
Cab020439.1,A01,.,AT4G37430.1
Cab020438.1,A01,.,AT4G37420.1
Cab020437.1,A01,.,AT4G37410.1
Cab020436.1,A01,.,AT4G37400.1
Cab020435.1,A01,.,AT1G59500.1
Cab020434.1,A01,.,AT4G37340.1
Cab020433.1,A01,.,AT4G37330.1
Cab020432.1,A01,.,AT4G37310.1
Cab020431.1,A01,.,AT4G37300.1
Cab020430.1,A01,.,0
BnaA01g00650D,A01,.,AT4G37280.1
Cab020429.7,A01,.,AT4G37270.1
Cab020428.1,A01,.,0
Cab020427.1,A01,.,AT4G37250.1
BnaA01g00700D,A01,.,0
Cab020426.1,A01,.,AT4G36880.1
Cab020425.1,A01,.,AT4G36890.1
Cab020424.1,A01,.,AT4G36900.1
Cab020423.1,A01,.,0
Cab020422.1,A01,.,0
Cab020421.1,A01,.,AT4G36920.2
Cab020420.2,A01,.,AT4G36930.1
Cab020419.2,A01,.,0
Cab020418.1,A01,.,AT4G36960.2
Cab020417.1,A01,.,AT4G36970.1
Cab020416.1,A01,.,AT4G36980.1
Cab020415.1,A01,.,AT4G36988.1
Cab020414.1,A01,.,AT4G37000.1
Cab020413.1,A01,.,AT4G37040.1
Cab020412.1,A01,.,AT4G37050.1
Cab020411.1,A01,.,AT4G37050.1
Cab020410.1,A01,.,AT4G37070.2
Cab020409.1,A01,.,AT4G37070.2
BnaA01g00840D,A01,.,0
Cab020408.1,A01,.,AT4G37080.3
Cab020407.1,A01,.,AT4G37090.1
Cab020406.1,A01,.,0
Cab020405.1,A01,.,AT4G37100.1
Cab020404.1,A01,.,0
Cab020403.1,A01,.,0
Cab020402.2,A01,.,AT4G37130.1
Cab020401.1,A01,.,AT4G37160.1
Cab020400.1,A01,.,AT4G37160.1
Cab020399.1,A01,.,AT4G37170.1
Cab020398.1,A01,.,AT4G37180.1
Cab020396.1,A01,.,0
Cab020397.1,A01,.,0
Cab020395.1,A01,.,AT4G36870.2
BnaA01g00930D,A01,.,AT4G37200.1
BnaA01g00940D,A01,.,AT4G37210.1
BnaA01g00950D,A01,.,0
BnaA01g00970D,A01,.,AT4G35910.1
Cab020394.1,A01,.,AT4G36860.1
Cab020393.2,A01,.,AT4G36850.1
Cab020392.1,A01,.,0
Cab020391.1,A01,.,AT4G36810.1
Cab020390.1,A01,.,AT4G36800.2
Cab020389.1,A01,.,0
Cab020388.1,A01,.,AT4G36800.2
Cab020387.1,A01,.,0
Cab020386.1,A01,.,AT4G36780.1
Cab020385.1,A01,.,AT4G36770.1
Cab020384.1,A01,.,0
BnaA01g01080D,A01,.,AT4G36750.1
Cab020383.1,A01,.,AT4G36760.1
Cab020382.1,A01,.,AT4G36750.1
Cab020381.1,A01,.,AT4G36740.1
Cab020380.1,A01,.,AT4G36730.1
Cab020379.1,A01,.,AT4G36720.1
Cab020378.1,A01,.,0
Cab020377.1,A01,.,AT4G36690.4
Cab020376.1,A01,.,AT4G36670.1
Cab020375.1,A01,.,AT4G36670.1
Cab020374.1,A01,.,AT4G36660.1
Cab020373.2,A01,.,0
Cab020372.1,A01,.,AT4G36640.2
Cab020371.1,A01,.,AT4G36620.1
Cab020370.1,A01,.,AT4G36610.1
Cab020369.1,A01,.,AT4G36580.1
Cab020368.1,A01,.,AT4G36570.1
Cab020367.1,A01,.,AT4G36550.1
Cab020366.1,A01,.,AT4G36530.2
Cab020365.4,A01,.,0
Cab020364.1,A01,.,AT4G36500.1
Cab020363.1,A01,.,AT4G36470.1
Cab020362.1,A01,.,AT4G36480.2
Cab020361.1,A01,.,AT4G36430.1
Cab048208.1,A01,.,AT4G36430.1
Cab020360.1,A01,.,AT4G36430.1
Cab020359.1,A01,.,AT4G36440.1
Cab047760.1,A01,.,0
BnaA01g01290D,A01,.,0
Cab020358.1,A01,.,AT4G36410.1
Cab020357.1,A01,.,AT4G36390.1
Cab020356.1,A01,.,AT4G36380.1
Cab020355.1,A01,.,0
Cab020354.1,A01,.,AT4G36360.2
Cab020353.1,A01,.,AT4G36290.1
Cab020352.1,A01,.,AT4G36260.1
Cab047597.1,A01,.,AT4G36260.1
Cab020351.1,A01,.,AT4G36250.1
Cab020350.1,A01,.,0
Cab020349.1,A01,.,0
BnaA01g01390D,A01,.,0
Cab020348.1,A01,.,AT4G36220.1
Cab020347.1,A01,.,AT4G36210.3
Cab020346.1,A01,.,AT4G36195.3
Cab020345.1,A01,.,AT4G36180.1
Cab020344.1,A01,.,AT4G36160.1
Cab020343.1,A01,.,AT4G36150.1
Cab020342.1,A01,.,AT4G36140.1
Cab020341.1,A01,.,AT2G18020.1
Cab020340.2,A01,.,AT4G36120.1
Cab020339.1,A01,.,AT4G36110.1
Cab020338.1,A01,.,0
Cab020337.1,A01,.,AT4G36090.3
Cab020336.12,A01,.,AT4G36080.1
BnaA01g01530D,A01,.,0
BnaA01g01540D,A01,.,AT4G36050.2
BnaA01g01560D,A01,.,0
BnaA01g01580D,A01,.,AT4G35987.1
BnaA01g01590D,A01,.,0
BnaA01g01600D,A01,.,AT4G35970.1
Cab020335.1,A01,.,AT4G35950.1
Cab020334.2,A01,.,AT4G35940.2
Cab020333.1,A01,.,AT4G35920.2
Cab020332.1,A01,.,AT4G35900.1
Cab020331.1,A01,.,0
Cab020330.2,A01,.,AT4G35880.1
Cab020329.4,A01,.,AT4G35850.1
Cab020328.1,A01,.,AT4G35830.1
Cab020327.1,A01,.,0
BnaA01g01720D,A01,.,0
Cab020326.1,A01,.,AT4G35810.1
Cab020325.1,A01,.,AT4G35810.1
Cab020324.1,A01,.,AT4G35800.1
Cab020323.5,A01,.,AT4G35790.2
BnaA01g01770D,A01,.,0
BnaA01g01780D,A01,.,AT4G35770.1
Cab020322.1,A01,.,AT4G35750.1
Cab020321.1,A01,.,AT4G35730.1
Cab020320.1,A01,.,AT4G35690.1
Cab020319.1,A01,.,0
Cab020318.1,A01,.,AT4G35690.1
Cab020317.1,A01,.,0
Cab020316.1,A01,.,0
Cab020315.1,A01,.,AT4G35600.2
Cab020314.1,A01,.,AT4G35590.1
Cab020313.1,A01,.,0
Cab020312.1,A01,.,AT4G35540.1
Cab020311.1,A01,.,AT4G35530.1
Cab020310.1,A01,.,0
Cab020309.1,A01,.,AT4G35500.1
Cab020308.2,A01,.,AT4G35480.1
Cab020307.1,A01,.,AT4G35470.1
Cab020305.1,A01,.,0
Cab020304.1,A01,.,AT4G35450.1
Cab020303.1,A01,.,AT4G35440.1
Cab020302.1,A01,.,AT1G57690.1
Cab020301.1,A01,.,AT4G35410.2
Cab020300.1,A01,.,AT4G35390.1
Cab020299.1,A01,.,AT4G35380.1
Cab020298.1,A01,.,0
Cab020297.1,A01,.,AT4G35360.1
Cab020296.1,A01,.,AT4G35350.1
Cab020295.1,A01,.,AT4G35335.1
Cab020294.1,A01,.,0
Cab020293.1,A01,.,AT4G35310.1
Cab020292.1,A01,.,AT4G35300.4
Cab020291.1,A01,.,AT4G35290.1
Cab020290.1,A01,.,AT2G17200.1
Cab020289.1,A01,.,AT4G35280.1
Cab020288.1,A01,.,AT4G35270.1
Cab020287.4,A01,.,AT4G35260.1
BnaA01g02170D,A01,.,AT5G60620.1
Cab020286.1,A01,.,0
Cab020285.1,A01,.,0
Cab020284.1,A01,.,AT4G35230.1
Cab020283.1,A01,.,0
Cab020282.2,A01,.,0
Cab020281.1,A01,.,0
Cab020280.1,A01,.,0
Cab020279.1,A01,.,AT4G35220.1
Cab020278.1,A01,.,AT4G35190.1
Cab020277.1,A01,.,AT4G35180.1
Cab020276.1,A01,.,0
Cab020275.1,A01,.,AT4G35140.1
Cab020274.3,A01,.,AT4G35130.1
Cab020273.1,A01,.,AT4G35110.4
Cab020272.1,A01,.,0
Cab020271.1,A01,.,AT4G35100.2
Cab020270.1,A01,.,AT4G35090.1
Cab020269.1,A01,.,AT4G35080.1
Cab020268.1,A01,.,AT4G35070.2
Cab020267.1,A01,.,AT4G35060.1
Cab020266.1,A01,.,AT4G35040.1
Cab020265.2,A01,.,AT4G35030.3
Cab020264.2,A01,.,AT4G35020.3
Cab020263.1,A01,.,AT4G35010.1
Cab020262.1,A01,.,AT4G34990.1
Cab020261.1,A01,.,AT4G34970.1
Cab020260.1,A01,.,AT4G34960.1
Cab020259.3,A01,.,AT4G34950.1
Cab020258.1,A01,.,AT4G34940.1
Cab020257.1,A01,.,AT4G34910.1
Cab020256.1,A01,.,AT4G34890.1
Cab020255.1,A01,.,AT4G34880.1
BnaA01g02330D,A01,.,0
Cab020254.1,A01,.,0
Cab020253.1,A01,.,AT4G34860.2
Cab020252.1,A01,.,AT4G34850.1
Cab020251.1,A01,.,AT4G34830.1
Cab020250.2,A01,.,AT4G34810.1
Cab020249.2,A01,.,0
Cab020248.1,A01,.,AT4G34790.1
Cab020247.1,A01,.,AT4G34770.1
Cab020246.1,A01,.,AT4G34760.1
Cab020245.1,A01,.,0
Cab020244.1,A01,.,AT4G34750.2
Cab020243.1,A01,.,AT3G62870.1
Cab020242.1,A01,.,AT4G34740.1
Cab020241.1,A01,.,AT4G34730.1
Cab020240.1,A01,.,AT4G34720.1
Cab020239.1,A01,.,AT4G34710.2
Cab020238.1,A01,.,0
Cab020237.1,A01,.,0
Cab020236.1,A01,.,AT4G34700.1
Cab020235.1,A01,.,AT4G34680.2
Cab020234.1,A01,.,AT4G34650.1
Cab020233.1,A01,.,AT4G34640.1
Cab020232.1,A01,.,AT4G34630.1
Cab020231.1,A01,.,AT4G34620.1
Cab020230.1,A01,.,0
Cab020229.1,A01,.,AT4G34588.1
Cab020228.1,A01,.,AT4G34580.1
Cab020227.1,A01,.,AT2G16370.1
Cab020226.1,A01,.,AT4G34560.1
Cab020224.1,A01,.,AT4G34540.1
Cab020223.1,A01,.,AT4G34530.1
Cab020222.1,A01,.,0
Cab020221.1,A01,.,AT4G34490.1
Cab020220.1,A01,.,AT4G34480.1
Cab020219.1,A01,.,AT4G34460.1
Cab020218.1,A01,.,AT4G34450.1
Cab020217.1,A01,.,AT4G34440.1
Cab020216.1,A01,.,AT4G34430.3
Cab020215.1,A01,.,AT4G34420.1
Cab020214.1,A01,.,AT4G34419.1
Cab020213.1,A01,.,AT4G34412.1
Cab020212.1,A01,.,AT4G34410.1
Cab020211.2,A01,.,0
Cab020210.1,A01,.,0
Cab020209.1,A01,.,AT4G34390.1
BnaA01g02750D,A01,.,0
Cab020208.1,A01,.,AT4G34380.1
Cab020207.1,A01,.,AT4G34370.1
Cab020206.1,A01,.,AT4G34360.1
Cab020205.1,A01,.,AT4G34350.1
Cab020204.1,A01,.,0
Cab020203.4,A01,.,AT4G34310.1
Cab020201.2,A01,.,AT4G34280.1
Cab020200.1,A01,.,AT2G18990.1
Cab020199.1,A01,.,AT4G34270.1
BnaA01g02850D,A01,.,AT4G34265.2
Cab020198.1,A01,.,AT4G34260.1
Cab020197.1,A01,.,AT4G34250.1
Cab020196.1,A01,.,0
Cab020195.1,A01,.,AT4G34240.1
Cab020194.1,A01,.,AT4G34230.1
Cab020193.1,A01,.,0
Cab020192.2,A01,.,AT3G57230.2
Cab020191.1,A01,.,AT4G34220.1
Cab020190.1,A01,.,AT4G34215.2
Cab020189.3,A01,.,AT4G34200.1
BnaA01g02940D,A01,.,0
Cab020188.1,A01,.,0
Cab020187.1,A01,.,0
Cab020186.1,A01,.,AT4G34160.1
Cab020185.1,A01,.,AT4G34140.3
Cab020184.2,A01,.,AT4G34138.1
Cab020183.1,A01,.,AT4G34131.1
Cab020182.1,A01,.,0
Cab020181.1,A01,.,AT4G34135.1
Cab020180.1,A01,.,AT4G34120.1
Cab020179.1,A01,.,AT4G34110.1
Cab020178.1,A01,.,AT4G34100.2
Cab020177.1,A01,.,AT4G34060.2
Cab020176.1,A01,.,0
Cab020175.3,A01,.,AT4G34020.2
Cab020174.1,A01,.,0
Cab020173.1,A01,.,AT4G33970.1
Cab020172.1,A01,.,0
Cab020171.1,A01,.,AT4G33950.1
Cab020170.1,A01,.,AT4G33945.1
Cab020169.1,A01,.,AT4G33940.1
Cab020168.1,A01,.,AT4G33925.1
Cab020167.1,A01,.,AT4G33865.1
Cab020166.1,A01,.,AT4G33865.1
Cab020165.1,A01,.,AT4G33880.1
Cab020164.1,A01,.,0
Cab020163.1,A01,.,AT4G33800.1
Cab020162.2,A01,.,AT4G33790.1
Cab020161.1,A01,.,AT4G33770.1
Cab020160.1,A01,.,AT1G66920.2
Cab020159.1,A01,.,AT4G33760.1
Cab020158.2,A01,.,AT4G33740.3
Cab020157.1,A01,.,AT4G33730.1
Cab020156.1,A01,.,AT4G33720.1
Cab020155.1,A01,.,0
Cab020154.2,A01,.,AT4G33700.1
Cab020153.3,A01,.,AT4G33680.1
BnaA01g03300D,A01,.,0
Cab020152.1,A01,.,0
Cab020151.1,A01,.,AT4G33650.1
BnaA01g03330D,A01,.,AT4G33640.1
Cab020150.1,A01,.,AT4G33625.1
Cab020149.1,A01,.,AT4G33620.1
Cab020148.1,A01,.,0
Cab020147.1,A01,.,AT4G33540.1
Cab020146.1,A01,.,AT4G33530.1
Cab020145.1,A01,.,AT4G33520.2
Cab020144.1,A01,.,AT4G33510.1
Cab020143.1,A01,.,AT4G33500.1
Cab020142.1,A01,.,0
Cab020141.1,A01,.,AT4G33490.2
Cab020140.1,A01,.,AT4G33480.1
Cab020139.1,A01,.,AT4G33470.1
Cab020138.1,A01,.,0
Cab020137.1,A01,.,AT4G33460.1
Cab020136.2,A01,.,AT4G33440.1
Cab020135.2,A01,.,AT4G33430.1
Cab047581.1,A01,.,AT4G33430.1
Cab020134.1,A01,.,AT4G33420.1
Cab047580.1,A01,.,AT4G33420.1
Cab020133.1,A01,.,AT4G33410.1
Cab020132.1,A01,.,AT4G33390.1
Cab020131.1,A01,.,AT4G33380.1
Cab020130.1,A01,.,AT4G33350.1
Cab020129.1,A01,.,AT4G33330.1
Cab020128.2,A01,.,AT4G33300.2
Cab020127.1,A01,.,AT4G33270.1
Cab020126.1,A01,.,AT4G33250.1
Cab020125.4,A01,.,AT4G33240.1
Cab020124.1,A01,.,AT4G33210.1
Cab020123.1,A01,.,AT4G33210.1
Cab020122.1,A01,.,AT4G33200.1
Cab020121.1,A01,.,AT4G33180.1
Cab020120.1,A01,.,AT4G33170.1
Cab020119.1,A01,.,AT4G33160.1
Cab020118.1,A01,.,AT4G33150.2
Cab020117.1,A01,.,0
Cab020116.1,A01,.,0
Cab020115.1,A01,.,0
Cab020114.1,A01,.,0
Cab020113.1,A01,.,AT4G33140.1
Cab020112.1,A01,.,AT4G33130.1
Cab020111.2,A01,.,0
Cab020110.1,A01,.,AT4G33110.2
Cab020109.1,A01,.,0
Cab020108.1,A01,.,AT4G33090.1
Cab020107.1,A01,.,AT4G33080.1
Cab020106.1,A01,.,AT4G33080.2
Cab020105.1,A01,.,AT4G33080.2
Cab020104.1,A01,.,AT4G33060.1
Cab020103.1,A01,.,AT4G33050.2
Cab020102.1,A01,.,0
Cab020101.1,A01,.,AT4G33040.1
Cab020100.1,A01,.,AT4G33030.1
Cab020099.1,A01,.,AT4G33020.1
Cab020098.2,A01,.,AT4G33010.1
BnaA01g03870D,A01,.,0
Cab020097.1,A01,.,AT4G33000.2
Cab020096.1,A01,.,AT4G32980.1
BnaA01g03940D,A01,.,0
Cab020095.1,A01,.,0
BnaA01g03900D,A01,.,0
Cab020094.1,A01,.,0
Cab020093.1,A01,.,0
Cab020092.2,A01,.,0
BnaA01g03970D,A01,.,0
BnaA01g03990D,A01,.,0
Cab020091.1,A01,.,0
Cab020090.1,A01,.,AT4G32940.1
Cab020089.1,A01,.,AT4G32930.1
Cab020088.1,A01,.,AT4G32920.3
Cab020087.1,A01,.,AT4G32910.1
Cab020086.1,A01,.,AT4G32900.2
Cab020085.1,A01,.,AT4G32890.1
Cab020084.1,A01,.,AT4G32880.1
Cab020083.1,A01,.,AT4G32870.1
Cab020082.1,A01,.,AT1G20480.1
Cab020081.1,A01,.,AT4G32860.1
BnaA01g04090D,A01,.,0
Cab020080.1,A01,.,AT4G32850.10
Cab020079.1,A01,.,AT4G32840.1
Cab020078.1,A01,.,AT4G32830.1
Cab020077.1,A01,.,AT4G32820.1
Cab020076.1,A01,.,AT4G32810.1
Cab020075.1,A01,.,0
Cab020074.1,A01,.,AT4G32800.1
Cab020073.1,A01,.,AT4G32780.1
Cab020072.1,A01,.,0
Cab020071.1,A01,.,0
Cab020070.1,A01,.,0
Cab020069.1,A01,.,AT4G32760.2
Cab020068.1,A01,.,AT4G32750.1
Cab020067.1,A01,.,AT4G32750.1
Cab020066.3,A01,.,AT4G32730.2
Cab020065.1,A01,.,AT4G32720.2
BnaA01g04240D,A01,.,0
BnaA01g04250D,A01,.,0
BnaA01g04260D,A01,.,0
Cab020064.3,A01,.,AT4G32710.1
Cab020063.1,A01,.,AT4G32700.2
Cab020062.1,A01,.,AT4G32690.1
Cab020061.1,A01,.,0
Cab020060.1,A01,.,AT4G32670.1
Cab020059.1,A01,.,0
Cab020058.1,A01,.,AT4G32660.3
Cab020057.1,A01,.,AT4G32650.1
Cab020056.1,A01,.,AT4G32640.2
Cab020055.1,A01,.,AT4G32630.1
Cab020054.1,A01,.,AT4G32620.1
Cab020053.1,A01,.,0
Cab020052.1,A01,.,0
Cab020051.1,A01,.,AT4G32610.1
Cab020050.1,A01,.,AT4G32600.1
BnaA01g04450D,A01,.,AT4G32590.1
Cab020049.1,A01,.,AT4G32570.1
Cab020048.1,A01,.,AT4G32560.2
Cab020047.5,A01,.,AT4G32551.2
Cab020046.1,A01,.,AT4G32540.1
Cab020045.1,A01,.,AT4G29250.1
Cab020044.1,A01,.,AT4G32530.1
Cab020043.1,A01,.,AT4G32510.1
Cab020042.1,A01,.,AT4G32500.1
Cab020041.1,A01,.,0
Cab020040.1,A01,.,AT4G32470.1
Cab020039.1,A01,.,AT4G32460.2
Cab020038.1,A01,.,AT4G32450.1
Cab020037.1,A01,.,AT4G32440.1
BnaA01g34250D,A01,.,ATCG01110.1
Cab020036.1,A01,.,AT4G32430.1
Cab020035.1,A01,.,AT4G32420.3
Cab020034.1,A01,.,AT4G32410.1
BnaA01g04610D,A01,.,AT4G32400.1
BnaA01g04630D,A01,.,AT4G32370.1
BnaA01g04640D,A01,.,AT4G32350.1
BnaA01g04650D,A01,.,AT4G32340.1
Cab020033.1,A01,.,AT4G32330.3
Cab020032.1,A01,.,0
Cab020031.1,A01,.,AT4G32300.1
Cab020030.1,A01,.,0
Cab020029.1,A01,.,AT4G32300.1
Cab020028.1,A01,.,AT5G04280.1
Cab020027.1,A01,.,AT4G32295.1
Cab020026.1,A01,.,AT4G32290.1
Cab048014.1,A01,.,0
Cab020025.1,A01,.,AT4G32290.1
Cab020024.1,A01,.,AT4G32285.2
Cab020023.3,A01,.,0
Cab020022.1,A01,.,AT4G32272.2
Cab020021.1,A01,.,AT4G32270.1
Cab020020.1,A01,.,AT4G32250.3
Cab020019.1,A01,.,AT4G32260.1
Cab020018.1,A01,.,0
Cab020017.1,A01,.,AT4G32180.1
Cab020016.1,A01,.,AT4G32160.1
Cab020015.3,A01,.,AT4G32150.1
Cab020014.1,A01,.,AT4G32120.1
Cab020013.1,A01,.,0
Cab020012.1,A01,.,0
Cab020011.1,A01,.,0
Cab020010.1,A01,.,AT4G32070.1
Cab020009.1,A01,.,AT4G32060.1
Cab020008.1,A01,.,AT4G32050.1
Cab020007.1,A01,.,AT4G32040.1
Cab020006.1,A01,.,0
Cab020005.1,A01,.,0
Cab020004.1,A01,.,0
Cab020003.1,A01,.,AT4G32000.1
Cab020002.1,A01,.,AT4G31990.3
BnaA01g04920D,A01,.,AT4G31985.1
Cab020001.1,A01,.,AT4G31980.1
Cab020000.1,A01,.,AT2G25170.1
BnaA01g04950D,A01,.,0
Cab019999.1,A01,.,0
Cab019998.1,A01,.,AT4G31900.2
Cab019997.1,A01,.,0
Cab019996.1,A01,.,AT4G31890.2
Cab019995.1,A01,.,AT4G31880.1
BnaA01g04990D,A01,.,0
Cab019994.1,A01,.,0
Cab019993.1,A01,.,0
Cab019989.1,A01,.,0
Cab019988.1,A01,.,0
Cab019987.1,A01,.,AT4G31840.1
Cab019986.1,A01,.,AT4G31830.1
Cab019985.1,A01,.,AT4G31820.1
Cab019984.1,A01,.,AT3G43710.1
Cab019983.1,A01,.,AT4G31800.1
Cab019982.1,A01,.,AT4G31790.2
Cab019981.1,A01,.,AT4G31780.2
Cab019980.3,A01,.,AT4G31750.1
Cab019979.1,A01,.,AT4G31730.1
Cab019978.1,A01,.,AT5G37170.1
Cab019977.1,A01,.,AT4G31700.1
Cab019976.1,A01,.,AT4G31670.1
Cab019975.1,A01,.,0
Cab019974.1,A01,.,0
Cab019973.2,A01,.,0
Cab019972.1,A01,.,0
Cab019971.1,A01,.,0
Cab019970.1,A01,.,0
Cab019969.1,A01,.,AT4G31600.1
Cab019968.1,A01,.,AT4G31590.1
Cab019967.1,A01,.,AT4G31570.1
Cab019966.1,A01,.,0
Cab019965.1,A01,.,AT4G31550.2
Cab019964.1,A01,.,AT4G31540.1
Cab019963.1,A01,.,0
